car_id,license_plate,brand,model,year,vin,color,owner_id
163,000CD5 163,Volkswagen,Tiguan,2018,6RCF5YDR2GK3R4708,Тусклый серый,550
164,004T525 37,Toyota,Camry,2010,PW2YRP1G6LU0B6207,Ярко-розовый,875
165,Т602УУ 96,Volkswagen,Golf,2003,58UZ282EXH15W6091,Бежевый,697
166,K762СA 61,Toyota,RAV4,2018,WWYY46HW477MU2682,Оранжево-красный,501
167,009T646 07,Lada,Niva,2014,YVCLPR8A8DPSF2051,Пурпурный,829
168,4892НA 12,Lada,Granta,2004,YN7UWHTX198YY3581,Темный хаки,526
169,4779KН 81,Hyundai,Creta,2018,KDFPRX8B0C4RG5201,Желто-зеленый,60
170,001T267 23,Volkswagen,Golf,2021,6TCDPF3D6D3LS1387,Светло-синий,827
171,СХ533 59,Kia,Optima,2000,MBUA49HYX8BAS4781,Светло-розовый,406
172,003T451 99,Kia,Rio,2023,EA99E6VW0FHVP8650,Желтый,224
173,000T557 80,Volkswagen,Polo,2001,X6WKD59K0NFZ53453,Черный,434
174,007D509 125,Kia,Optima,2002,WA4HZ3CR4TBGC9575,Темно-синий,555
175,6867AС 89,Lada,Vesta,2015,LL2SHEHH4K0YX1010,Темный хаки,33
176,5492BA 22,Kia,Sportage,2005,5ZT8D0FP0KZ577538,Синий,788
177,ХР3475 68,Toyota,RAV4,2023,46TJARBK3A1B85546,Желтый,662
178,НХ692 125,Hyundai,Creta,2012,FJ1Y6VFJ84MGX3466,Бледно-Бирюзовый,460
179,Х603ТС 716,Hyundai,Creta,2002,4VN7SCM981AAJ1412,Оранжевый,700
180,Р616СA 159,Volkswagen,Tiguan,2020,UG6MH8CD519M53665,Темно-розовый,881
181,Х8179 21,Kia,Rio,2005,PXA4MBKB57JAH2191,Розовато-лавандовый,551
182,M401KС 163,Hyundai,Tucson,2004,SC8JATL017VK30120,Коралловый,746
183,Т469СС 86,Toyota,Camry,2024,SSPK50WB8WL7T9136,Темно-бирюзовый,24
184,ХУ5321 06,Kia,Sportage,2021,77C4L9D74FJBG5682,Сливовый,737
185,Х246EО 98,Volkswagen,Golf,2017,6FA19LFG3V3VX2386,Золотой,389
186,M939СР 174,Toyota,Camry,2014,SXK4YY957J42F0752,Желтый,355
187,ХA109 80,Toyota,Corolla,2006,0JW9NHBU1DBYU5416,Цвет морской волны,960
188,003T985 134,Lada,Vesta,2025,E7AZCRCAX2X3H7868,Малиновый,677
189,005CD7 82,Hyundai,Tucson,2024,6PF56UB68W4N13534,Белый,959
190,У7750 152,Lada,Vesta,2006,JSCNWRZT11LN56213,Каштановый,69
191,СM4225 81,Lada,Niva,2001,M7CC3L5N3DN874196,Аквамарин,458
192,7451УK 174,Volkswagen,Polo,2007,ESN1M2G520FG97372,Зеленый,759
193,008D703 32,Lada,Granta,2014,D896V5ENX85AV4752,Красный,240
194,ТО7311 54,Volkswagen,Tiguan,2024,DF72ZSAF9G22F0659,Белый,885
195,8036MС 164,Lada,Vesta,2016,63395Z0K96V391408,Светло-синий,297
196,ОB8787 36,Toyota,RAV4,2018,B5JX1D929GDDK4347,Темно-бирюзовый,327
197,BA510 05,Volkswagen,Jetta,2007,JS151J8C3MWK91355,Бежевый,310
198,002D239 63,Toyota,RAV4,2016,UW96YR5Y7XVP58776,Темно-голубой,227
199,7123ТС 18,Hyundai,Creta,2008,EWA3HZXEXGLMZ0451,Зеленый,63
200,7341СС 07,Volkswagen,Tiguan,2020,YSK3F7NY8C7LF5859,Бледно-зеленый,696
201,Х0544 35,Hyundai,Tucson,2015,FBV6LG2T5W1943856,Красный,49
202,У5378 150,Kia,Optima,2021,B4NNNMEL7TWWZ4407,Светло-синий,391
203,2100РE 102,Volkswagen,Jetta,2022,H2KY58BJ2Y1H76175,Аквамарин,427
204,008D667 17,Hyundai,Solaris,2009,TGH0U9JK6TX687049,Фиолетовый,386
205,B703KE 58,Toyota,RAV4,2015,W4JJE2WF5XG4D2466,Оранжевый,247
206,M817РТ 82,Toyota,Corolla,2022,0GSAJW2J746ZU8113,Серебряный,148
207,KE1456 164,Hyundai,Solaris,2017,7Z8AWP6X8FWHC0034,Пурпурный,423
208,НО405 85,Hyundai,Tucson,2016,R9L60D85882925411,Золотой,138
209,Р369KA 08,Hyundai,Solaris,2008,P9B5KGAU2G9LU7353,Коричневый,209
210,О599ХТ 154,Kia,Optima,2002,H0T6HMLD8S9P47582,Светло-голубой,945
211,M023EK 61,Hyundai,Creta,2002,PENZ4DMA82YL38805,Хаки,549
212,008T197 38,Toyota,Camry,2008,PGJ9NBHXXJHRG7774,Бирюзовый,387
213,0464AA 80,Volkswagen,Polo,2002,1RZ9RKU9XYWEN7553,Оранжево-красный,193
214,УО9121 05,Volkswagen,Tiguan,2015,G2WAPGNC0U4E09601,Желтый,214
215,004T707 125,Kia,Sportage,2000,S9P7XJC87P4EK6032,Темно-зеленый,217
216,009T884 49,Toyota,RAV4,2003,0WN0FU6YXGMKN9496,Сливовый,765
217,7812РХ 36,Hyundai,Solaris,2022,7YJ0V7E97DDS92402,Слоновая кость,619
218,B6404 10,Toyota,Corolla,2007,HRMP76AR02N193811,Сливовый,566
219,СХ074 159,Kia,Sportage,2012,NA9VTYXH1LGDE2393,Белый,478
220,003D278 39,Volkswagen,Jetta,2009,TB6N83196A5GC6077,Оранжевый,268
221,008D696 60,Kia,Optima,2015,DY5PNXF80C5WE0520,Аквамарин,478
222,005T079 85,Lada,Niva,2015,EWVE79XC3M4AW4148,Бледно-зеленый,780
223,ТУ8268 04,Kia,Rio,2011,14X0B2X6XHNBF2189,Светло-желтый,321
224,005T960 88,Hyundai,Solaris,2018,FD5LWN8W4CAC15790,Белый,885
225,6094BР 159,Toyota,RAV4,2004,1AH8E24V5NYLM8867,Бледно-Бирюзовый,17
226,0959BM 81,Kia,Optima,2018,3JVBFSTJ0ZUM76272,Светло-голубой,594
227,M043УС 50,Hyundai,Creta,2004,L3GS07YR9CJ7U4349,Бирюзовый,201
228,007D407 173,Kia,Rio,2012,ZPLVH5649UJ6Z6672,Ярко-розовый,584
229,9789НK 177,Toyota,Corolla,2017,X45AHD8U10GFV4598,Светло-голубой,671
230,M040РУ 37,Kia,Sportage,2024,RN5ZVPSB5EAXD6920,Темно-розовый,842
231,B5672 116,Hyundai,Tucson,2020,0F12MWZN90KBM9153,Серебряный,758
232,О0980 81,Hyundai,Creta,2005,YDT3D2CH7C9ZL1365,Желто-зеленый,751
233,004T997 76,Kia,Rio,2004,2Y3U32YH8FV346143,Бирюзовый,738
234,ХТ7443 196,Volkswagen,Golf,2005,V6RFZWUB1K1LG1577,Фуксия,939
235,6182MС 81,Volkswagen,Polo,2016,K5HAYZPEXZZXB1419,Зеленый,35
236,ХM122 38,Lada,Niva,2001,EA8L21W85HZGN3204,Зеленый,783
237,Р5417 66,Lada,Granta,2004,R1JLTE676SYVS6457,Фуксия,863
238,Х6647 67,Toyota,Camry,2022,3N91ZM9U35YP44552,Темно-красный,155
239,8298СР 125,Lada,Vesta,2016,WPKH0A1U1TAWE1850,Оранжево-красный,467
240,4006РE 54,Kia,Rio,2019,TUC3FA6G8CFF23031,Синий,654
241,B065MС 88,Volkswagen,Golf,2021,LMYLP9JN9M5HC2961,Зеленый,500
242,4578KН 116,Lada,Vesta,2017,VCZW6FMNXFDNU6696,Бледно-зеленый,565
243,BР5601 23,Hyundai,Solaris,2000,U9GUKXTA4J9UP9368,Желтый,543
244,Р367ТХ 12,Kia,Optima,2009,619Y54L98A7980387,Серебряный,18
245,УB4562 54,Volkswagen,Golf,2025,HTB037SMXDN306633,Темно-красный,963
246,ХE253 89,Toyota,Camry,2003,6H1F4YLL8HA409841,Темно-красный,537
247,3507MН 03,Toyota,Camry,2006,DFBZ4W292C6214404,Индиго,635
248,B3532 79,Volkswagen,Jetta,2026,XEYUNMGV5VNXE6172,Темно-розовый,363
249,MС4712 196,Kia,Sportage,2002,TU7MFD9H55N472702,Темно-голубой,383
250,KУ9062 799,Hyundai,Creta,2018,MZBJVXCD43EV89129,Розовый,250
251,2759KТ 163,Toyota,Corolla,2021,LW6JB66TXL6312206,Сливовый,848
252,MK4364 51,Lada,Niva,2020,GDAT6G0A5AVSZ0072,Темно-зеленый,778
253,EР8785 178,Lada,Vesta,2012,74DCPD317UD9M0900,Розовато-лавандовый,389
254,007D754 70,Hyundai,Tucson,2015,PT8XAKW21DEBJ3446,Белый,58
255,Н8415 52,Lada,Niva,2005,TCM8WLYD57YSR5185,Тусклый серый,85
256,005T965 72,Hyundai,Creta,2020,13EEVL0B6G9619648,Светло-зеленый,804
257,EE145 62,Kia,Optima,2003,XPCW9EYS3J0UK6041,Темно-голубой,917
258,E081KР 27,Volkswagen,Polo,2007,B082CP0KXP36K3922,Светло-зеленый,217
259,E0769 59,Volkswagen,Golf,2008,C4WDJYSW3Z0KK9007,Серый,48
260,О9483 75,Lada,Niva,2008,1KDTZAN2XBMUA8559,Светло-зеленый,921
261,E6923 125,Volkswagen,Polo,2005,LVAYFKTA8BCFG7047,Оранжевый,952
262,ОО1051 152,Kia,Rio,2006,R64RZSAZ7XAHG8688,Светло-желтый,602
263,AK1869 57,Toyota,RAV4,2026,T6EKH4EF028SC1838,Темно-оранжевый,408
264,О2377 44,Lada,Granta,2005,16AA25RD7210F1852,Светло-розовый,578
265,Н313KО 39,Toyota,RAV4,2026,5J1B6AY34UXB32318,Желтый,870
266,E903BУ 177,Hyundai,Tucson,2017,YLS111769BJKF7653,Темный хаки,340
267,СР515 190,Hyundai,Tucson,2004,YKU88W4V2B3G40272,Лазурный,810
268,8083MУ 93,Lada,Niva,2023,BDA8R12P15E9N9324,Малиновый,998
269,006D252 10,Kia,Rio,2003,A6E87UWN0ARY24283,Сине-фиолетовый,448
270,006CD7 82,Toyota,Camry,2010,88UWT91B8ZSGA5153,Желто-зеленый,620
271,K2209 152,Volkswagen,Golf,2024,6XMD2J1PXH54M3198,Аквамарин,335
272,Н0848 56,Lada,Niva,2008,AJTYV4EY6Y41E8467,Аквамарин,803
273,006D440 159,Hyundai,Creta,2007,ZELL16YA9VF9B7279,Светло-зеленый,365
274,B205BB 28,Volkswagen,Golf,2013,5CG2UCR28P2BK1990,Лазурный,191
275,Н1747 716,Volkswagen,Golf,2002,6W4SHNVU16AG48863,Ярко-розовый,791
276,009T044 94,Volkswagen,Jetta,2025,6F8487HM1VT5M6767,Шоколадный,253
277,ТО1709 27,Lada,Vesta,2008,7VUKM5XW61GNE0223,Темно-бирюзовый,158
278,С7725 35,Hyundai,Tucson,2025,04NBHXFP2ACDM8727,Розовый,650
279,У2409 43,Toyota,RAV4,2012,ZSUCKRJJXELSN4273,Шоколадный,325
280,009CD1 73,Kia,Rio,2002,WSA0XFME4A47T3406,Желто-зеленый,6
281,KM142 20,Kia,Sportage,2011,PSCGMBTD6TBDC6288,Фуксия,780
282,A4455 123,Kia,Rio,2004,KDHJ06573GJMX7549,Оранжево-красный,90
283,EB2463 82,Toyota,Corolla,2014,8P5A88TH4RJBZ7924,Ярко-розовый,571
284,MР539 87,Volkswagen,Golf,2003,YP8PF14W85EHX5145,Светло-зеленый,27
285,УK578 31,Lada,Granta,2017,GLC52Z690XRAK4643,Темно-голубой,96
286,001CD4 73,Volkswagen,Jetta,2012,1UTR82RT8705Y3749,Светло-желтый,13
287,000T650 74,Kia,Sportage,2012,5HV6N1774C6T32502,Античный Белый,798
288,AE2898 73,Lada,Niva,2017,ZE98B4S620P3W4984,Каштановый,927
289,О8420 14,Toyota,RAV4,2016,5J6HH9GS8AFU50737,Сливовый,174
290,ТН8599 50,Hyundai,Solaris,2004,WLXUDYZA8LYXX9305,Бледно-зеленый,276
291,6760РM 21,Kia,Sportage,2015,3PDH7L1H9MU293903,Светло-синий,150
292,СУ9660 173,Lada,Vesta,2013,DNKWS2YL96ZJ91210,Золотой,283
293,УE441 186,Hyundai,Creta,2015,29HNJ4ZN3PFMA9356,Фиолетовый,802
294,УK7950 97,Lada,Granta,2008,TPLWEYGN2AMJT2512,Индиго,967
295,1752EР 32,Toyota,RAV4,2020,HULADSYG404EM9990,Темно-оранжевый,508
296,Р084BН 18,Volkswagen,Tiguan,2014,9J0TLXLE2XRFM8513,Васильковый,110
297,6142ХО 30,Toyota,Corolla,2000,2H4ZN02S755YY3346,Темно-синий,972
298,E6593 39,Hyundai,Creta,2026,Z3J75X6R54ZPJ0333,Темно-красный,636
299,С366AУ 34,Hyundai,Creta,2014,2C6EX4A56YTYW0936,Бирюзовый,343
300,Р6576 154,Hyundai,Tucson,2019,NNKM4DGZ6CN871954,Бежевый,140
301,ОТ955 38,Kia,Sportage,2019,F49CFC6D0LM2W5148,Аквамарин,971
302,ОM626 03,Toyota,Corolla,2010,RVJ7L8KKX7TJF8762,Красный,182
303,УE9730 32,Hyundai,Creta,2009,J4ULXANA3ZDWW0235,Серебряный,753
304,E828MС 18,Hyundai,Tucson,2025,KN6RM5HL6GL0F6446,Белый,249
