policy_id,car_id,company,start_date,end_date,cost
186,1142,Росгосстрах,2024-07-15,2025-07-15,5193
187,295,Ингосстрах,2025-11-24,2026-11-24,19472
188,1138,АльфаСтрахование,2025-06-01,2026-06-01,10678
189,428,АльфаСтрахование,2024-07-01,2025-07-01,16033
190,1085,Т-Страхование,2025-05-03,2026-05-03,9465
191,439,Ингосстрах,2025-11-22,2026-11-22,9640
192,269,АльфаСтрахование,2024-05-28,2025-05-28,14558
193,269,АльфаСтрахование,2024-11-22,2025-11-22,18690
194,619,Росгосстрах,2025-09-15,2026-09-15,5545
195,250,Ингосстрах,2025-03-11,2026-03-11,14000
196,290,АльфаСтрахование,2025-12-04,2026-12-04,5176
197,744,Т-Страхование,2025-07-30,2026-07-30,17795
198,692,Т-Страхование,2024-10-03,2025-10-03,19810
199,863,Росгосстрах,2025-01-15,2026-01-15,18232
200,222,АльфаСтрахование,2026-01-22,2027-01-22,16703
201,255,Т-Страхование,2025-11-28,2026-11-28,13456
202,488,Ингосстрах,2024-09-19,2025-09-19,10651
203,256,Росгосстрах,2025-02-09,2026-02-09,22742
204,638,АльфаСтрахование,2024-12-28,2025-12-28,22581
205,1049,АльфаСтрахование,2026-01-15,2027-01-15,23582
206,55,АльфаСтрахование,2026-02-03,2027-02-03,8285
207,892,Т-Страхование,2026-01-09,2027-01-09,13561
208,799,Т-Страхование,2024-06-19,2025-06-19,21943
209,22,АльфаСтрахование,2025-12-06,2026-12-06,17858
210,1137,Т-Страхование,2024-10-01,2025-10-01,14567
211,1146,Ингосстрах,2024-11-10,2025-11-10,8635
212,211,Т-Страхование,2025-08-07,2026-08-07,18899
213,875,Росгосстрах,2024-04-30,2025-04-30,9828
214,575,Т-Страхование,2026-02-14,2027-02-14,17309
215,1130,Ингосстрах,2025-09-18,2026-09-18,24193
216,935,Т-Страхование,2025-10-09,2026-10-09,18951
217,619,Т-Страхование,2024-04-22,2025-04-22,23467
218,323,Т-Страхование,2025-06-12,2026-06-12,17045
219,83,АльфаСтрахование,2024-05-09,2025-05-09,23026
220,328,Т-Страхование,2026-04-06,2027-04-06,19907
221,610,Т-Страхование,2025-08-14,2026-08-14,14101
222,1116,АльфаСтрахование,2025-08-29,2026-08-29,15880
223,596,Ингосстрах,2025-10-13,2026-10-13,20329
224,777,АльфаСтрахование,2025-03-04,2026-03-04,14648
225,604,Т-Страхование,2024-07-20,2025-07-20,23300
226,351,Росгосстрах,2024-10-02,2025-10-02,6566
227,224,АльфаСтрахование,2026-01-22,2027-01-22,21068
228,792,АльфаСтрахование,2024-08-12,2025-08-12,16863
229,327,Росгосстрах,2025-01-04,2026-01-04,12685
230,994,АльфаСтрахование,2024-12-05,2025-12-05,13649
231,355,Росгосстрах,2026-01-11,2027-01-11,14428
232,860,Ингосстрах,2024-06-13,2025-06-13,12448
233,642,АльфаСтрахование,2024-06-28,2025-06-28,7179
234,1009,Росгосстрах,2025-03-20,2026-03-20,16057
235,974,АльфаСтрахование,2026-04-01,2027-04-01,17385
236,1014,Т-Страхование,2024-10-09,2025-10-09,23754
237,1128,АльфаСтрахование,2025-06-24,2026-06-24,6431
238,98,АльфаСтрахование,2026-04-04,2027-04-04,6604
239,394,Росгосстрах,2025-08-10,2026-08-10,13797
240,391,АльфаСтрахование,2024-09-26,2025-09-26,6597
241,995,Т-Страхование,2026-02-14,2027-02-14,23499
242,37,Росгосстрах,2025-07-18,2026-07-18,8016
243,267,Росгосстрах,2025-04-04,2026-04-04,16808
244,400,АльфаСтрахование,2025-07-23,2026-07-23,13065
245,1030,Ингосстрах,2025-05-07,2026-05-07,7042
246,1168,Ингосстрах,2024-07-08,2025-07-08,17140
247,694,Росгосстрах,2025-09-10,2026-09-10,19066
248,331,Т-Страхование,2024-05-06,2025-05-06,9022
249,1142,Росгосстрах,2025-02-28,2026-02-28,6664
250,787,АльфаСтрахование,2025-02-05,2026-02-05,7321
251,1095,Ингосстрах,2024-10-22,2025-10-22,14335
252,565,Росгосстрах,2024-10-14,2025-10-14,19152
253,797,Т-Страхование,2024-06-15,2025-06-15,17497
254,555,Т-Страхование,2026-01-17,2027-01-17,9593
255,68,Т-Страхование,2025-06-16,2026-06-16,15570
256,129,Т-Страхование,2024-04-23,2025-04-23,16405
257,175,АльфаСтрахование,2025-07-25,2026-07-25,18148
258,654,Ингосстрах,2025-09-22,2026-09-22,20612
259,404,Т-Страхование,2026-01-18,2027-01-18,6219
260,559,АльфаСтрахование,2024-10-09,2025-10-09,7118
261,622,Росгосстрах,2025-05-20,2026-05-20,16905
262,296,АльфаСтрахование,2024-07-27,2025-07-27,23183
263,922,Т-Страхование,2025-12-18,2026-12-18,22321
264,1010,Росгосстрах,2025-12-19,2026-12-19,5880
265,13,Ингосстрах,2025-05-31,2026-05-31,13883
266,709,Росгосстрах,2025-01-26,2026-01-26,18331
267,421,Ингосстрах,2025-06-11,2026-06-11,20558
268,817,АльфаСтрахование,2025-10-03,2026-10-03,11781
269,1055,Росгосстрах,2024-12-27,2025-12-27,11101
270,398,Ингосстрах,2025-08-27,2026-08-27,14735
271,397,АльфаСтрахование,2024-12-12,2025-12-12,19095
272,96,Т-Страхование,2025-12-20,2026-12-20,10065
273,12,АльфаСтрахование,2025-09-27,2026-09-27,21169
274,846,Росгосстрах,2025-03-26,2026-03-26,9241
275,80,Т-Страхование,2024-07-13,2025-07-13,6050
276,913,АльфаСтрахование,2025-09-23,2026-09-23,20395
277,487,Т-Страхование,2025-04-21,2026-04-21,18738
278,1100,Росгосстрах,2026-01-11,2027-01-11,12927
279,186,Т-Страхование,2024-07-20,2025-07-20,24953
280,906,Т-Страхование,2026-03-23,2027-03-23,5532
281,920,Росгосстрах,2026-01-19,2027-01-19,13800
282,788,Т-Страхование,2024-04-27,2025-04-27,5714
283,91,Ингосстрах,2025-01-10,2026-01-10,15985
284,485,Росгосстрах,2024-08-02,2025-08-02,24133
285,1187,Ингосстрах,2025-11-18,2026-11-18,23798
286,386,Ингосстрах,2024-05-16,2025-05-16,13791
287,139,Т-Страхование,2025-05-07,2026-05-07,7799
288,746,Росгосстрах,2026-04-19,2027-04-19,11118
289,1146,Т-Страхование,2024-08-28,2025-08-28,24972
290,1150,АльфаСтрахование,2024-09-25,2025-09-25,18648
291,355,АльфаСтрахование,2024-10-09,2025-10-09,15630
292,689,Ингосстрах,2024-05-04,2025-05-04,19596
293,624,Росгосстрах,2025-02-17,2026-02-17,13548
294,707,Росгосстрах,2026-01-08,2027-01-08,22083
295,79,Т-Страхование,2024-12-28,2025-12-28,17577
296,52,АльфаСтрахование,2025-11-12,2026-11-12,18617
297,478,Ингосстрах,2025-01-17,2026-01-17,5432
298,1193,Росгосстрах,2024-12-06,2025-12-06,17474
299,161,Т-Страхование,2026-03-31,2027-03-31,23538
300,447,Росгосстрах,2024-07-30,2025-07-30,13040
301,405,АльфаСтрахование,2025-11-20,2026-11-20,17376
302,412,Ингосстрах,2025-02-04,2026-02-04,15579
303,354,Росгосстрах,2025-12-05,2026-12-05,13807
304,450,АльфаСтрахование,2025-07-30,2026-07-30,10829
305,792,Ингосстрах,2025-05-11,2026-05-11,14088
306,547,Ингосстрах,2024-05-01,2025-05-01,21734
307,196,Т-Страхование,2026-01-22,2027-01-22,14895
308,1199,Ингосстрах,2024-06-25,2025-06-25,18625
309,197,Ингосстрах,2025-01-15,2026-01-15,10180
310,1033,Т-Страхование,2025-09-04,2026-09-04,23074
311,233,Ингосстрах,2024-06-08,2025-06-08,8581
312,741,Т-Страхование,2025-09-12,2026-09-12,20280
313,618,Росгосстрах,2025-09-23,2026-09-23,20948
314,517,Росгосстрах,2024-05-07,2025-05-07,19380
315,60,Т-Страхование,2024-10-16,2025-10-16,5537
316,1112,Росгосстрах,2025-10-31,2026-10-31,9560
317,705,Т-Страхование,2025-08-02,2026-08-02,7033
318,805,Росгосстрах,2025-05-17,2026-05-17,10089
319,1088,АльфаСтрахование,2026-02-07,2027-02-07,9846
320,544,Т-Страхование,2026-02-17,2027-02-17,7193
321,640,Т-Страхование,2025-04-21,2026-04-21,6685
322,840,Т-Страхование,2025-08-04,2026-08-04,16448
323,804,Ингосстрах,2025-12-17,2026-12-17,6078
324,38,Росгосстрах,2025-01-11,2026-01-11,10982
325,232,Т-Страхование,2026-04-02,2027-04-02,19606
326,864,Ингосстрах,2025-03-26,2026-03-26,19578
327,15,Ингосстрах,2025-03-25,2026-03-25,23244
328,839,Росгосстрах,2026-04-08,2027-04-08,7689
329,827,Ингосстрах,2024-04-22,2025-04-22,18053
330,143,АльфаСтрахование,2025-09-03,2026-09-03,15171
331,894,Т-Страхование,2025-07-05,2026-07-05,9407
332,681,Т-Страхование,2024-05-02,2025-05-02,24071
333,711,Росгосстрах,2024-12-04,2025-12-04,9610
334,762,Росгосстрах,2025-12-24,2026-12-24,18827
335,278,Росгосстрах,2025-11-30,2026-11-30,10735
336,783,Росгосстрах,2025-08-24,2026-08-24,14004
337,367,АльфаСтрахование,2025-10-20,2026-10-20,22231
338,599,Т-Страхование,2024-10-07,2025-10-07,14404
339,788,Т-Страхование,2026-01-01,2027-01-01,22087
340,705,Росгосстрах,2024-06-17,2025-06-17,11896
341,865,Росгосстрах,2025-12-18,2026-12-18,24890
342,562,Росгосстрах,2025-01-28,2026-01-28,14010
343,546,Т-Страхование,2024-12-30,2025-12-30,12600
344,690,Росгосстрах,2025-08-16,2026-08-16,6394
345,275,Т-Страхование,2024-12-02,2025-12-02,9490
346,192,Т-Страхование,2026-01-31,2027-01-31,8335
347,547,Росгосстрах,2024-07-25,2025-07-25,8460
348,275,Росгосстрах,2024-08-17,2025-08-17,10916
349,84,Ингосстрах,2024-11-15,2025-11-15,22106
350,1029,Ингосстрах,2024-08-02,2025-08-02,7211
351,1195,АльфаСтрахование,2025-05-21,2026-05-21,17805
352,345,Т-Страхование,2024-04-27,2025-04-27,11894
353,186,АльфаСтрахование,2024-09-21,2025-09-21,14876
354,1199,Ингосстрах,2024-10-16,2025-10-16,18894
355,57,Т-Страхование,2026-03-21,2027-03-21,21781
356,142,АльфаСтрахование,2024-05-29,2025-05-29,16062
357,263,Росгосстрах,2024-07-04,2025-07-04,24318
358,484,Ингосстрах,2026-01-21,2027-01-21,10364
359,275,АльфаСтрахование,2026-04-05,2027-04-05,12151
360,250,Росгосстрах,2025-01-19,2026-01-19,15194
361,380,АльфаСтрахование,2024-08-19,2025-08-19,7599
362,163,Ингосстрах,2025-07-17,2026-07-17,15184
363,990,Т-Страхование,2026-04-05,2027-04-05,5279
364,528,АльфаСтрахование,2025-01-14,2026-01-14,7561
365,357,Росгосстрах,2024-09-12,2025-09-12,17411
366,73,Ингосстрах,2024-06-26,2025-06-26,12536
367,1194,Ингосстрах,2025-03-30,2026-03-30,15156
368,501,АльфаСтрахование,2024-07-11,2025-07-11,21854
369,568,Ингосстрах,2026-01-26,2027-01-26,7508
370,267,АльфаСтрахование,2024-10-30,2025-10-30,22555
371,939,Ингосстрах,2024-08-26,2025-08-26,11614
372,158,Росгосстрах,2026-02-11,2027-02-11,19359
373,600,Росгосстрах,2024-04-20,2025-04-20,13610
374,1081,Т-Страхование,2025-11-02,2026-11-02,18584
375,576,АльфаСтрахование,2026-03-27,2027-03-27,19478
376,445,Росгосстрах,2025-11-25,2026-11-25,5200
377,1198,АльфаСтрахование,2026-02-27,2027-02-27,6709
378,208,Т-Страхование,2026-01-31,2027-01-31,6993
379,857,АльфаСтрахование,2025-06-10,2026-06-10,9842
380,1169,АльфаСтрахование,2025-12-18,2026-12-18,13901
381,115,Росгосстрах,2026-02-24,2027-02-24,8770
382,773,АльфаСтрахование,2026-01-27,2027-01-27,21704
383,42,Росгосстрах,2026-04-09,2027-04-09,18614
384,1108,Росгосстрах,2024-07-17,2025-07-17,20215
385,496,АльфаСтрахование,2025-09-17,2026-09-17,21992
386,215,Т-Страхование,2024-07-28,2025-07-28,17019
387,66,Т-Страхование,2024-07-10,2025-07-10,21081
388,308,Росгосстрах,2026-02-14,2027-02-14,21501
389,1140,Росгосстрах,2024-08-30,2025-08-30,19118
390,859,Ингосстрах,2025-01-26,2026-01-26,6831
391,685,Т-Страхование,2026-02-25,2027-02-25,16851
392,759,АльфаСтрахование,2024-09-25,2025-09-25,14160
393,48,Росгосстрах,2024-09-11,2025-09-11,9917
394,892,Т-Страхование,2025-12-19,2026-12-19,7706
395,844,Росгосстрах,2026-01-23,2027-01-23,19896
396,277,Т-Страхование,2024-08-07,2025-08-07,19581
397,651,АльфаСтрахование,2024-08-06,2025-08-06,23555
398,678,Ингосстрах,2025-01-31,2026-01-31,11882
399,192,Т-Страхование,2024-06-25,2025-06-25,8079
400,151,Т-Страхование,2025-07-16,2026-07-16,24349
401,1060,Росгосстрах,2025-09-22,2026-09-22,14142
402,353,Росгосстрах,2025-06-01,2026-06-01,21614
403,758,АльфаСтрахование,2024-08-08,2025-08-08,23565
404,495,Росгосстрах,2025-07-03,2026-07-03,5816
405,605,Ингосстрах,2024-12-20,2025-12-20,24865
406,297,АльфаСтрахование,2024-11-19,2025-11-19,24064
407,546,Т-Страхование,2024-10-16,2025-10-16,23071
408,959,Т-Страхование,2025-02-21,2026-02-21,8340
409,835,Т-Страхование,2025-01-06,2026-01-06,9084
410,239,Ингосстрах,2026-02-19,2027-02-19,20183
411,75,Росгосстрах,2025-05-02,2026-05-02,8065
412,42,АльфаСтрахование,2024-08-27,2025-08-27,6962
413,974,АльфаСтрахование,2025-07-15,2026-07-15,19519
414,1130,Т-Страхование,2025-06-29,2026-06-29,18161
415,659,Ингосстрах,2025-06-15,2026-06-15,20510
416,237,Ингосстрах,2024-08-23,2025-08-23,15857
417,989,АльфаСтрахование,2024-12-18,2025-12-18,23579
418,88,АльфаСтрахование,2025-01-06,2026-01-06,13694
419,142,АльфаСтрахование,2026-03-13,2027-03-13,22904
420,857,Ингосстрах,2026-03-15,2027-03-15,7353
421,951,Т-Страхование,2025-11-14,2026-11-14,21269
422,472,Т-Страхование,2026-02-05,2027-02-05,9870
423,994,АльфаСтрахование,2025-04-25,2026-04-25,16289
424,59,Т-Страхование,2024-05-03,2025-05-03,11269
425,706,АльфаСтрахование,2025-07-30,2026-07-30,8964
426,321,Росгосстрах,2025-06-20,2026-06-20,16791
427,153,Росгосстрах,2026-03-29,2027-03-29,5993
428,222,АльфаСтрахование,2025-02-06,2026-02-06,24325
429,1080,АльфаСтрахование,2024-06-02,2025-06-02,13957
430,1071,Т-Страхование,2026-01-22,2027-01-22,8079
431,447,Росгосстрах,2026-03-21,2027-03-21,8176
432,1,АльфаСтрахование,2025-07-21,2026-07-21,15692
433,1065,Росгосстрах,2024-04-22,2025-04-22,19896
434,953,Росгосстрах,2024-04-24,2025-04-24,6856
435,189,АльфаСтрахование,2025-01-02,2026-01-02,6896
436,520,Ингосстрах,2025-07-06,2026-07-06,24017
437,471,Т-Страхование,2025-12-19,2026-12-19,24916
438,738,Т-Страхование,2024-12-12,2025-12-12,12398
439,1069,Ингосстрах,2026-02-08,2027-02-08,15558
440,512,Ингосстрах,2025-02-07,2026-02-07,14030
441,801,Росгосстрах,2024-04-30,2025-04-30,18675
442,787,АльфаСтрахование,2025-07-29,2026-07-29,11297
443,97,Росгосстрах,2025-10-17,2026-10-17,11241
444,909,АльфаСтрахование,2025-03-17,2026-03-17,17810
445,403,Т-Страхование,2025-05-11,2026-05-11,16274
446,980,Росгосстрах,2025-02-26,2026-02-26,21978
447,143,Ингосстрах,2024-09-13,2025-09-13,7088
448,1103,Росгосстрах,2025-08-29,2026-08-29,19922
449,1014,АльфаСтрахование,2025-05-21,2026-05-21,12019
450,875,АльфаСтрахование,2024-06-26,2025-06-26,18450
451,131,Ингосстрах,2024-08-02,2025-08-02,14923
452,813,Ингосстрах,2025-12-17,2026-12-17,16644
453,747,Т-Страхование,2025-04-29,2026-04-29,16486
454,455,Росгосстрах,2024-09-02,2025-09-02,7018
455,90,АльфаСтрахование,2024-11-08,2025-11-08,18441
456,877,Т-Страхование,2025-08-08,2026-08-08,15152
457,375,Т-Страхование,2025-07-10,2026-07-10,15456
458,911,Росгосстрах,2026-04-02,2027-04-02,13959
459,1072,Росгосстрах,2025-03-04,2026-03-04,10764
460,764,Ингосстрах,2026-03-15,2027-03-15,9306
461,201,Т-Страхование,2024-10-06,2025-10-06,16308
462,416,Т-Страхование,2026-02-10,2027-02-10,23595
463,513,Ингосстрах,2024-05-05,2025-05-05,19793
464,516,Росгосстрах,2024-07-19,2025-07-19,7153
465,684,Т-Страхование,2025-06-23,2026-06-23,18666
466,1078,Ингосстрах,2026-03-01,2027-03-01,23928
467,352,Т-Страхование,2026-03-14,2027-03-14,10233
468,739,Ингосстрах,2025-11-16,2026-11-16,15845
469,347,АльфаСтрахование,2025-07-13,2026-07-13,9882
470,562,Росгосстрах,2025-11-16,2026-11-16,9530
