fine_id,car_id,date,violation,amount,status
24,868,2024-03-12,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
25,657,2023-11-05,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
26,625,2024-12-01,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
27,906,2023-05-27,Нарушение правил парковки (12.19 КоАП),1500,оплачен
28,92,2024-05-13,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
29,409,2025-08-12,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
30,176,2026-03-27,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
31,498,2024-12-30,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
32,590,2023-10-14,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
33,625,2025-12-31,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
34,680,2024-11-20,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
35,434,2025-03-04,Непристегнутый ремень (12.6 КоАП),1000,оплачен
36,530,2026-01-15,Непристегнутый ремень (12.6 КоАП),1000,оплачен
37,290,2024-07-10,Непристегнутый ремень (12.6 КоАП),1000,оплачен
38,772,2023-11-15,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
39,90,2024-02-12,Непристегнутый ремень (12.6 КоАП),1000,оплачен
40,582,2024-12-24,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
41,556,2025-08-02,Непристегнутый ремень (12.6 КоАП),1000,оплачен
42,137,2024-02-28,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
43,738,2025-03-22,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
44,600,2025-07-16,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
45,474,2023-05-07,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
46,204,2026-03-06,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
47,1089,2024-03-28,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
48,1026,2025-03-26,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
49,45,2023-08-25,Непристегнутый ремень (12.6 КоАП),1000,оплачен
50,625,2025-04-18,Непристегнутый ремень (12.6 КоАП),1000,оплачен
51,322,2023-08-15,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
52,728,2025-08-25,Нарушение правил парковки (12.19 КоАП),1500,оплачен
53,1027,2025-02-25,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
54,528,2024-09-05,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
55,1137,2025-08-06,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
56,311,2025-08-16,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
57,282,2023-05-27,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
58,1067,2025-04-01,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
59,466,2024-07-09,Непристегнутый ремень (12.6 КоАП),1000,оплачен
60,313,2025-01-09,Непристегнутый ремень (12.6 КоАП),1000,оплачен
61,675,2023-10-21,Нарушение правил парковки (12.19 КоАП),1500,оплачен
62,424,2026-03-31,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
63,1109,2023-12-07,Непристегнутый ремень (12.6 КоАП),1000,оплачен
64,283,2023-06-24,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
65,277,2024-05-18,Непристегнутый ремень (12.6 КоАП),1000,оплачен
66,1157,2025-01-25,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
67,139,2024-09-29,Нарушение правил парковки (12.19 КоАП),1500,оплачен
68,378,2024-08-05,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
69,61,2024-09-12,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
70,843,2024-11-30,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
71,312,2024-08-29,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
72,270,2025-02-26,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
73,547,2024-12-19,Непристегнутый ремень (12.6 КоАП),1000,оплачен
74,473,2024-04-01,Непристегнутый ремень (12.6 КоАП),1000,оплачен
75,54,2026-03-31,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
76,275,2024-12-12,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
77,961,2024-03-14,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
78,377,2024-12-21,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
79,971,2024-02-20,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
80,464,2025-08-28,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
81,553,2026-02-23,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
82,416,2023-10-17,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
83,363,2024-03-13,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
84,1004,2025-12-10,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
85,506,2023-12-02,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
86,780,2026-02-11,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
87,1172,2023-11-28,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
88,79,2024-01-22,Непристегнутый ремень (12.6 КоАП),1000,оплачен
89,936,2024-03-16,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
90,504,2023-07-23,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
91,81,2024-07-08,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
92,101,2024-02-02,Непристегнутый ремень (12.6 КоАП),1000,оплачен
93,816,2023-09-21,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
94,945,2023-07-21,Нарушение правил парковки (12.19 КоАП),1500,оплачен
95,112,2024-04-16,Нарушение правил парковки (12.19 КоАП),1500,оплачен
96,950,2025-05-27,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
97,186,2025-11-02,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
98,369,2025-09-26,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
99,278,2025-08-23,Непристегнутый ремень (12.6 КоАП),1000,оплачен
100,924,2024-02-06,Нарушение правил парковки (12.19 КоАП),1500,оплачен
101,414,2023-06-10,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
102,513,2024-08-05,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
103,254,2026-01-16,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
104,744,2025-08-05,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
105,1048,2025-03-16,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
106,776,2025-09-14,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
107,350,2024-03-22,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
108,308,2025-06-06,Непристегнутый ремень (12.6 КоАП),1000,оплачен
109,367,2023-07-04,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
110,860,2023-09-14,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
111,592,2024-01-19,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
112,270,2024-04-18,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
113,519,2024-03-01,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
114,1022,2024-09-25,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
115,1011,2025-03-18,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
116,975,2026-04-17,Непристегнутый ремень (12.6 КоАП),1000,оплачен
117,163,2025-09-23,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
118,502,2024-03-27,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
119,1142,2025-05-30,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
120,101,2025-12-27,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
121,715,2025-04-24,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
122,1184,2024-10-14,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
123,679,2025-11-06,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
124,224,2023-05-04,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
125,331,2023-08-27,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
126,1173,2024-01-26,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
127,933,2025-11-11,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
128,74,2023-11-11,Нарушение правил парковки (12.19 КоАП),1500,оплачен
129,662,2025-10-25,Нарушение правил парковки (12.19 КоАП),1500,оплачен
130,139,2026-03-15,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
131,133,2025-12-13,Непристегнутый ремень (12.6 КоАП),1000,оплачен
132,250,2023-11-11,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
133,675,2025-12-10,Нарушение правил парковки (12.19 КоАП),1500,оплачен
134,430,2023-12-20,Непристегнутый ремень (12.6 КоАП),1000,оплачен
135,120,2023-05-31,Непристегнутый ремень (12.6 КоАП),1000,оплачен
136,180,2023-08-07,Непристегнутый ремень (12.6 КоАП),1000,оплачен
137,589,2024-04-22,Непристегнутый ремень (12.6 КоАП),1000,оплачен
138,532,2024-03-13,Нарушение правил парковки (12.19 КоАП),1500,оплачен
139,725,2025-03-13,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
140,1153,2023-05-16,Непристегнутый ремень (12.6 КоАП),1000,оплачен
141,1009,2024-07-10,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
142,477,2024-09-03,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
143,4,2025-04-29,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
144,242,2024-06-11,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
145,850,2023-05-04,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
146,717,2026-02-15,Нарушение правил парковки (12.19 КоАП),1500,оплачен
147,24,2025-08-29,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
148,522,2024-09-04,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
149,615,2023-07-09,Нарушение правил парковки (12.19 КоАП),1500,оплачен
150,13,2025-04-27,Нарушение правил парковки (12.19 КоАП),1500,оплачен
151,700,2024-07-27,Нарушение правил парковки (12.19 КоАП),1500,оплачен
152,60,2025-11-14,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
153,677,2026-01-09,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
154,972,2023-08-23,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
155,987,2023-08-27,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
156,1100,2024-04-08,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
157,848,2025-11-17,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
158,1068,2023-12-21,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
159,1138,2025-08-07,Нарушение правил парковки (12.19 КоАП),1500,оплачен
160,1183,2023-11-18,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
161,136,2024-02-22,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
162,64,2025-01-22,Нарушение правил парковки (12.19 КоАП),1500,оплачен
163,1095,2025-10-10,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
164,798,2025-02-08,Непристегнутый ремень (12.6 КоАП),1000,оплачен
165,632,2024-08-20,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
166,65,2025-12-17,Нарушение правил парковки (12.19 КоАП),1500,оплачен
167,1018,2024-04-30,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
168,926,2025-08-19,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
169,443,2023-12-09,Нарушение правил парковки (12.19 КоАП),1500,оплачен
170,230,2025-02-24,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
171,414,2025-09-11,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
172,1037,2024-04-06,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
173,1025,2023-09-07,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
174,991,2024-04-28,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
175,636,2025-08-23,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
176,202,2023-05-15,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
177,272,2026-03-27,Непристегнутый ремень (12.6 КоАП),1000,оплачен
178,941,2023-05-23,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
179,238,2026-03-23,Непристегнутый ремень (12.6 КоАП),1000,оплачен
180,179,2024-03-27,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
181,212,2024-05-15,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
182,47,2025-09-13,Нарушение правил парковки (12.19 КоАП),1500,оплачен
183,430,2024-02-25,Нарушение правил парковки (12.19 КоАП),1500,оплачен
184,587,2024-04-23,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
185,904,2025-02-25,Нарушение правил парковки (12.19 КоАП),1500,оплачен
186,306,2025-04-01,Нарушение правил парковки (12.19 КоАП),1500,оплачен
187,32,2024-02-26,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
188,1053,2026-04-20,Непристегнутый ремень (12.6 КоАП),1000,оплачен
189,718,2025-01-11,Непристегнутый ремень (12.6 КоАП),1000,оплачен
190,290,2023-08-10,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
191,1176,2024-07-31,Нарушение правил парковки (12.19 КоАП),1500,оплачен
192,638,2023-07-30,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
193,1108,2024-07-07,Нарушение правил парковки (12.19 КоАП),1500,оплачен
194,60,2025-06-07,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
195,217,2026-03-04,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
196,874,2025-01-26,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
197,914,2023-08-20,Непристегнутый ремень (12.6 КоАП),1000,оплачен
198,681,2025-11-20,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
199,161,2024-07-15,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
200,1163,2024-11-10,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
201,200,2025-02-05,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
202,964,2023-09-06,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
203,295,2026-02-27,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
204,529,2024-09-01,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
205,376,2025-08-03,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
206,666,2023-10-08,Нарушение правил парковки (12.19 КоАП),1500,оплачен
207,134,2025-06-16,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
208,981,2023-10-13,Нарушение правил парковки (12.19 КоАП),1500,оплачен
209,579,2026-01-20,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
210,1177,2023-08-18,Непристегнутый ремень (12.6 КоАП),1000,оплачен
211,831,2023-05-12,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
212,668,2025-01-01,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
213,619,2026-04-14,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
214,847,2025-11-25,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
215,1123,2025-11-14,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
216,787,2024-07-15,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
217,883,2026-02-14,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
218,1162,2023-12-14,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
219,484,2025-10-08,Непристегнутый ремень (12.6 КоАП),1000,оплачен
220,1176,2024-02-04,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
221,949,2024-01-03,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
222,912,2024-04-24,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
223,143,2023-07-31,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
224,777,2025-12-12,Непристегнутый ремень (12.6 КоАП),1000,оплачен
225,186,2025-05-24,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
226,1190,2025-06-15,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
227,301,2025-10-10,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
228,1089,2024-10-07,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
229,1184,2026-03-09,Непристегнутый ремень (12.6 КоАП),1000,оплачен
230,649,2025-07-13,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
231,891,2025-10-12,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
232,183,2024-03-15,Нарушение правил парковки (12.19 КоАП),1500,оплачен
233,1046,2026-01-18,Непристегнутый ремень (12.6 КоАП),1000,оплачен
234,603,2026-01-27,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
235,109,2023-12-08,Непристегнутый ремень (12.6 КоАП),1000,оплачен
236,736,2023-06-28,Непристегнутый ремень (12.6 КоАП),1000,оплачен
237,64,2023-08-01,Нарушение правил парковки (12.19 КоАП),1500,оплачен
238,808,2023-06-23,Непристегнутый ремень (12.6 КоАП),1000,оплачен
239,832,2026-03-15,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
240,433,2025-09-09,Непристегнутый ремень (12.6 КоАП),1000,оплачен
241,285,2025-11-09,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
242,738,2025-07-06,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
243,591,2026-03-28,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
244,276,2023-08-18,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
245,295,2023-05-05,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
246,895,2025-05-09,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
247,174,2023-12-25,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
248,934,2024-04-14,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
249,872,2023-12-09,Непристегнутый ремень (12.6 КоАП),1000,оплачен
250,1044,2023-11-30,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
251,788,2026-02-02,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
252,870,2026-03-03,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
253,1021,2025-06-05,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
254,1028,2024-08-02,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
255,1181,2025-03-07,Непристегнутый ремень (12.6 КоАП),1000,оплачен
256,1164,2025-07-07,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
257,232,2024-04-26,Нарушение правил парковки (12.19 КоАП),1500,оплачен
258,291,2023-06-16,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
259,573,2023-09-11,Непристегнутый ремень (12.6 КоАП),1000,оплачен
260,1072,2025-12-19,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
261,503,2024-08-15,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
262,1105,2024-06-12,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
263,109,2023-11-02,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
264,23,2023-05-03,Непристегнутый ремень (12.6 КоАП),1000,оплачен
265,961,2025-06-22,Непристегнутый ремень (12.6 КоАП),1000,оплачен
266,863,2025-08-03,Нарушение правил парковки (12.19 КоАП),1500,оплачен
267,593,2024-03-05,Нарушение правил парковки (12.19 КоАП),1500,оплачен
268,623,2024-08-12,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
269,534,2024-06-15,Непристегнутый ремень (12.6 КоАП),1000,оплачен
270,1185,2024-05-16,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
271,598,2023-12-15,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
272,56,2024-10-02,Непристегнутый ремень (12.6 КоАП),1000,оплачен
273,260,2024-05-13,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
274,517,2025-05-17,Нарушение правил парковки (12.19 КоАП),1500,оплачен
275,564,2024-07-19,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
276,229,2023-11-25,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
277,310,2024-06-11,Непристегнутый ремень (12.6 КоАП),1000,оплачен
278,360,2025-11-08,Нарушение правил парковки (12.19 КоАП),1500,оплачен
279,994,2024-08-02,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
280,68,2023-09-14,Непристегнутый ремень (12.6 КоАП),1000,оплачен
281,298,2025-06-02,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
282,1016,2025-06-10,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,не оплачен
283,785,2024-09-20,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
284,343,2025-08-23,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
285,112,2024-06-05,Нарушение правил парковки (12.19 КоАП),1500,оплачен
286,108,2025-05-01,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
287,976,2025-06-07,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
288,479,2023-06-30,Непристегнутый ремень (12.6 КоАП),1000,оплачен
289,972,2023-12-21,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
290,891,2024-03-23,Непристегнутый ремень (12.6 КоАП),1000,оплачен
291,783,2025-10-16,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
292,85,2023-11-12,Непристегнутый ремень (12.6 КоАП),1000,оплачен
293,725,2025-06-19,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
294,559,2026-02-28,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
295,202,2026-01-12,Нарушение правил парковки (12.19 КоАП),1500,оплачен
296,802,2024-02-12,Непристегнутый ремень (12.6 КоАП),1000,оплачен
297,400,2023-08-28,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
298,642,2023-07-18,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
299,140,2025-11-15,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
300,1076,2023-08-04,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
301,720,2024-11-25,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
302,516,2025-03-06,Нарушение правил парковки (12.19 КоАП),1500,оплачен
303,189,2023-08-08,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
304,445,2025-11-06,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
305,246,2023-09-16,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
306,267,2023-05-10,Непристегнутый ремень (12.6 КоАП),1000,оплачен
307,379,2024-07-20,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
308,519,2026-01-14,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
309,929,2024-04-30,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
310,875,2025-10-30,Нарушение правил парковки (12.19 КоАП),1500,оплачен
311,528,2025-03-14,Нарушение правил парковки (12.19 КоАП),1500,оплачен
312,568,2025-10-08,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
313,796,2026-04-21,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
314,529,2024-01-20,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
315,365,2024-04-30,Нарушение правил парковки (12.19 КоАП),1500,оплачен
316,411,2024-08-17,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
317,1008,2023-09-11,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
318,884,2023-06-06,Непристегнутый ремень (12.6 КоАП),1000,оплачен
319,905,2026-02-27,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
320,72,2023-12-16,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
321,514,2024-08-03,Непристегнутый ремень (12.6 КоАП),1000,не оплачен
322,1020,2023-12-04,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
323,78,2024-10-15,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
324,311,2023-07-04,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
325,1177,2024-09-05,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
326,980,2025-11-21,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
327,1107,2026-03-26,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
328,988,2024-12-19,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
329,736,2024-03-04,Непристегнутый ремень (12.6 КоАП),1000,оплачен
